Minute,Average of GHI
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,1.287277702
35,4.325581395
36,8.976744186
37,15.5376197
38,23.82216142
39,34.50068399
40,47.04514364
41,61.58823529
42,78.66347469
43,98.5499316
44,117.8891929
45,140.4692202
46,166.6949384
47,194.8002736
48,225.2024624
49,256.1094391
50,287.9917921
51,321.5731874
52,354.7113543
53,386.7031464
54,416.3255814
55,447.506156
56,483.0725034
57,510.0766074
58,539.2599179
59,565.995896
60,590.2982216
61,614.3461012
62,641.9534884
63,661.6580027
64,683.7414501
65,702.0396717
66,718.4076607
67,736.3228454
68,749.3337893
69,757.7222982
70,765.6142271
71,778.1915185
72,783.2831737
73,788.3611491
74,793.5157319
75,794.4555404
76,795.4117647
77,789.7154583
78,786.879617
79,779.6073871
80,770.1532148
81,762.9931601
82,755.1395349
83,739.1833105
84,725.0984952
85,713.3912449
86,697.8823529
87,675.3611491
88,654.870041
89,631.7715458
90,612.5129959
91,589.0287278
92,563.4391245
93,538.0560876
94,514.0328317
95,485.8262654
96,456.7756498
97,425.2339261
98,400.2585499
99,370.1381669
100,336.2257182
101,303.1367989
102,270.6511628
103,240.7346101
104,213.2393981
105,184.4145007
106,157.7154583
107,134.6032832
108,112.8850889
109,92.24213406
110,75.71135431
111,58.47742818
112,44.91655267
113,32.70861833
114,22.58413133
115,14.88645691
116,8.540355677
117,4.093023256
118,1.216142271
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
